trade_id,instrument,fold,entry_time_utc,entry_time_ny,exit_time_utc,exit_time_ny,day_of_week,holding_hours,direction,entry_price,sl_price,tp_price,close_price,sl_pips,rr_ratio,trade_result,r_gained,pnl,setup_quality,confluence_score,ttps_htf,ttps_entry,ttps_session,ttps_risk,ttps_total,primary_fvg_tf,primary_fvg_bottom,primary_fvg_top,swept_level,risk_amount,risk_multiplier,week_number,block_reason,bias_trend_score,bias_swing_score,bias_zone_score,bias_po3_score,bias_bull_total,bias_bear_total,bias_conviction
full-0043,XAUUSDm,full,2022-07-06 08:00:00,2022-07-06 04:00:00,2022-07-06 16:00:00,2022-07-06 12:00:00,Wednesday,8.0,BEARISH,1767.81,1785.49,1732.44,1732.44,17.7,2.00,WIN,2.00,2000.00,B,8,5,4,2,1,12,H4,1771.27,1797.45,1770.15,1000.00,1.0,2022-W27,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0044,XAUUSDm,full,2022-07-06 09:00:00,2022-07-06 05:00:00,2022-07-12 01:00:00,2022-07-11 21:00:00,Wednesday,136.0,BEARISH,1766.15,1783.81,1730.82,1730.82,17.7,2.00,WIN,2.00,2000.00,B,8,5,4,2,1,12,H4,1771.27,1797.45,1770.15,1000.00,0.5,2022-W27,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0045,XAUUSDm,full,2022-07-06 10:00:00,2022-07-06 06:00:00,2022-07-12 01:00:00,2022-07-11 21:00:00,Wednesday,135.0,BEARISH,1763.98,1781.62,1728.69,1728.69,17.6,2.00,WIN,2.00,2000.00,B,8,5,4,1,1,11,H4,1771.27,1797.45,1764.02,1000.00,0.5,2022-W27,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0046,XAUUSDm,full,2022-07-21 07:00:00,2022-07-21 03:00:00,2022-07-21 12:00:00,2022-07-21 08:00:00,Thursday,5.0,BEARISH,1689.43,1706.32,1655.64,1706.32,16.9,2.00,LOSS,-1.00,-1000.00,B,8,5,4,2,1,12,H4,1697.32,1706.27,1689.79,1000.00,1.0,2022-W29,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0047,XAUUSDm,full,2022-08-03 07:00:00,2022-08-03 03:00:00,2022-08-19 10:00:00,2022-08-19 06:00:00,Wednesday,387.0,BULLISH,1767.72,1750.04,1846.95,1750.04,17.7,4.48,LOSS,-1.00,-1000.00,B,8,5,3,2,3,13,H1,1755.37,1760.58,1767.64,1000.00,1.0,2022-W31,Signal confirmed,2/0,3/0,2/0,0/1,6,1,MEDIUM
full-0048,XAUUSDm,full,2022-08-16 07:00:00,2022-08-16 03:00:00,2022-08-22 08:00:00,2022-08-22 04:00:00,Tuesday,145.0,BEARISH,1780.51,1798.32,1732.52,1732.52,17.8,2.69,WIN,2.69,2690.00,A,9,5,4,2,3,14,H4,1788.12,1793.92,1781.42,1000.00,1.0,2022-W33,Signal confirmed,0/0,2/3,0/2,0/0,2,5,MEDIUM
full-0049,XAUUSDm,full,2022-08-24 08:00:00,2022-08-24 04:00:00,2022-08-29 01:00:00,2022-08-28 21:00:00,Wednesday,113.0,BULLISH,1747.88,1730.40,1807.83,1730.40,17.5,3.43,LOSS,-1.00,-1000.00,B,8,5,3,2,4,14,H1,1738.30,1747.11,1747.88,1000.00,1.0,2022-W34,Signal confirmed,1/2,2/3,2/0,1/0,6,4,MEDIUM
full-0050,XAUUSDm,full,2022-08-25 14:00:00,2022-08-25 10:00:00,2022-08-26 15:00:00,2022-08-26 11:00:00,Thursday,25.0,BULLISH,1753.38,1735.85,1807.83,1735.85,17.5,3.11,LOSS,-1.00,-1000.00,B,8,5,3,3,3,14,H1,1738.30,1747.11,1753.38,1000.00,1.0,2022-W34,Signal confirmed,1/2,2/2,2/0,1/0,6,3,MEDIUM
full-0051,XAUUSDm,full,2022-08-31 10:00:00,2022-08-31 06:00:00,2022-09-09 07:00:00,2022-09-09 03:00:00,Wednesday,213.0,BEARISH,1711.01,1728.12,1676.78,1728.12,17.1,2.00,LOSS,-1.00,-1000.00,B,7,5,3,1,2,11,H1,1714.37,1719.40,1713.41,1000.00,1.0,2022-W35,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0052,XAUUSDm,full,2022-09-01 07:00:00,2022-09-01 03:00:00,2022-09-06 00:00:00,2022-09-05 20:00:00,Thursday,113.0,BEARISH,1706.93,1724.00,1672.78,1724.00,17.1,2.00,LOSS,-1.00,-1000.00,B,7,5,3,2,2,12,H1,1714.37,1719.40,1707.36,1000.00,1.0,2022-W35,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
